Date,Close,High,Low,Open,Volume
,MA,MA,MA,MA,MA
2023-06-29,383.15338134765625,383.48941648577994,376.0669036888506,376.4128319716924,2524600
2023-06-30,388.7177429199219,390.56598132955827,383.5783449837766,383.5783449837766,4406800
2023-07-03,389.3700866699219,389.71601496166926,384.15160350690167,386.7806162973437,1304600
2023-07-05,390.13116455078125,390.6450953739039,382.61970317405735,384.28012290601947,2781800
2023-07-06,389.12158203125,390.180622200715,385.75631055124563,389.8045014913747,2156600
2023-07-07,384.7071228027344,388.43860729925467,384.42998601462745,386.66689522226176,2654400
2023-07-10,388.15155029296875,389.40855814667253,384.0439754521273,384.5091725674677,2148600
2023-07-11,393.7338562011719,394.38711360429795,388.32967430976316,389.59658952034795,2106200
2023-07-12,396.5943908691406,399.04905267871595,394.634618361086,394.92166261354885,2273400
2023-07-13,396.4656982421875,399.11829753808234,396.36671434489256,398.88076034909017,2354900
2023-07-14,398.39581298828125,399.36577673101556,396.2083804296946,398.00978481712576,1978500
2023-07-17,398.0889587402344,399.8705481099513,397.019980953888,397.84151409412675,2344500
2023-07-18,394.09027099609375,397.8316330856978,391.17041189568715,396.3271804113971,2676200
2023-07-19,394.1991271972656,395.76299436013085,392.25916952478485,393.9318978390961,1809700
2023-07-20,393.99127197265625,395.63430809365576,391.50691799012174,393.0806925645553,2570700
2023-07-21,393.42706298828125,397.4059920586779,393.35780144663164,394.5950246241144,1868100
2023-07-24,400.6524658203125,400.7712344128486,392.55605436325186,393.41718707042696,3029800
2023-07-25,397.1783142089844,400.72170793902,396.9011774379517,399.2469476437719,2490500
2023-07-26,398.2967834472656,399.1875780866377,391.70485478688244,395.0997879087699,2572300
2023-07-27,390.46759033203125,401.0483241569728,389.9232242782099,401.0483241569728,3563300
2023-07-28,388.943359375,393.9318515812472,384.90507629751454,393.8922519828046,4501000
2023-07-31,390.2498779296875,392.0314672029344,388.4583812053263,389.9430490015799,3578300
2023-08-01,393.0113830566406,393.2390127955588,388.34950425553205,389.7550031119017,2344200
2023-08-02,386.0334167480469,390.1805912626895,385.5979117723581,389.853977633745,2410600
2023-08-03,388.9928894042969,389.41848694435595,382.4702521865615,383.59858406086283,2190500
2023-08-04,387.349853515625,392.041394321338,386.08293814082447,387.6071754067135,2215200
2023-08-07,392.8133850097656,393.6843949150134,388.9829470813332,388.9829470813332,1559800
2023-08-08,389.1710510253906,392.32844718294075,386.1423309190331,392.1304793802374,1747000
2023-08-09,389.6461181640625,392.73422227318105,387.8644987279721,389.83414829121205,1806100
2023-08-10,393.0806579589844,396.5349753457956,391.66525171179495,392.4075856056238,2154500
2023-08-11,390.9427185058594,392.6154465689202,388.7948858939907,391.704837068449,1464600
2023-08-14,394.50592041015625,395.1493006309349,390.57649836598404,392.39771747545,1638500
2023-08-15,390.418212890625,393.4271183334758,389.5669875178362,393.4271183334758,1753200
2023-08-16,390.3389892578125,395.11963690416127,389.10176598369577,389.41850239122476,2002000
2023-08-17,388.60687255859375,392.1601741395489,386.99352859332794,392.09091259322304,2118600
2023-08-18,388.1614685058594,389.8143817745721,384.85558155714534,385.83548286466896,2001800
2023-08-21,389.180908203125,390.95258992417865,387.0231681727184,389.19078544803216,1869400
2023-08-22,393.7734375,394.6939241684173,389.6559557055096,390.962470451054,2422500
2023-08-23,396.96063232421875,397.81185769025154,394.28821782386797,395.1889200413099,1943200
2023-08-24,393.6052551269531,399.87054015121504,393.43697948046525,397.4851701855366,1970000
2023-08-25,398.7718811035156,400.48417860584453,394.9216281747324,396.5547566862061,2154600
2023-08-28,403.2754211425781,403.6317269627888,399.02926221784804,399.87058012309797,1901300
2023-08-29,407.44232177734375,407.9768106358032,402.4340448818519,403.2555779687341,2188800
2023-08-30,409.67926025390625,413.5096985684387,409.29323210467965,410.54036279523274,2516600
2023-08-31,408.4222106933594,412.0348961414478,407.5709854848564,409.9761399666795,2535100
2023-09-01,411.322265625,412.2526598475807,408.27373087699095,409.60993791628385,1840600
2023-09-05,407.2938537597656,411.15398387820716,405.5122645376058,409.12495003043387,2045600
2023-09-06,408.9566650390625,409.1546328172816,404.71053710873446,406.58120272864386,2292100
